ticker,companyname,sector,industry,closeprice,dma10,dma50,dma200
RVLT,Revolution Lighting Technologies Inc. ,Technology,Diversified Electronics,2.91,2.924,3.237,3.34695
RVP, Retractable Technologies  Inc.  ,Healthcare,Medical Instruments & Supplies,3.65,3.485,3.5982,2.84365
SAFT,Safety Insurance Group Inc. ,Financial,Property & Casualty Insurance,53.71,53.606,54.2134,54.1822
SAM,Boston Beer Company Inc. (The) ,Consumer Goods,Beverages - Brewers,246.04,237.746,239.227,228.536
SCHO,Schwab Short-Term U.S. Treasury ETF,Fixed Income ETF,,50.62,50.576,50.5658,50.5376
SCHR,Schwab Intermediate-Term U.S. Treasury ETF,Fixed Income ETF,,52.76,52.604,52.6854,52.5975
SCON,Superconductor Technologies Inc ,Technology,Semiconductor - Integrated Circuits,2.26,2.32,2.7794,2.2674
SCOR,comScore Inc. ,Services,Business Services,31.33,29.963,31.5008,28.8768
SGY,Stone Energy Corporation Common ,Basic Materials,Independent Oil & Gas,49.05,46.396,40.3302,33.5632
SHOO,Steven Madden Ltd. ,Consumer Goods,Textile - Apparel Footwear & Accessories,35.61,35.031,35.7752,40.5933
SHV,iShares Barclays Short Treasury Bond Fund ETF,Fixed Income ETF,,110.27,110.263,110.258,110.248
SHY,iShares Barclays 1-3 Year Treasury Bond Fund ETF,Fixed Income ETF,,84.52,84.476,84.4736,84.428
SIGA,SIGA Technologies Inc. ,Healthcare,Biotechnology,2.87,2.835,3.095,3.3421
SLCA, U.S. Silica Holdings  Inc. Comm ,Basic Materials,Industrial Metals & Minerals,45.17,42.157,37.125,30.952
SMB,Market Vectors Short Municipal Index ETF,Fixed Income ETF,,17.57,17.575,17.6314,17.5353
SMFG,Sumitomo Mitsui Financial Group ,Financial,Foreign Regional Banks,7.95,8.006,8.5724,9.46435
SMPL,Simplicity Bancorp Inc. ,Financial,Savings & Loans,17.34,17.147,17.2622,15.985
SONS,Sonus Networks Inc. ,Technology,Communication Equipment,3.27,3.12,3.4564,3.27315
SPAR,Spartan Motors Inc. ,Consumer Goods,Trucks & Other Vehicles,5.31,5.245,5.3964,6.06405
SPDC,Speed Commerce Inc. ,Services,Computers Wholesale,3.3,3.263,3.801,3.7186
SPFF,Global X SuperIncome Preferred ETF,Fixed Income ETF,,15.12,15.029,14.962,14.7717
SPIL,Siliconware Precision Industrie ,NULL,NULL,7.42,7.017,6.6936,6.02615
SPNS,Sapiens International Corporati ,Technology,Technical & System Software,7.87,7.715,7.8666,6.8939
SPSC,SPS Commerce Inc. ,Services,Business Services,51.8,52.156,60.7258,64.9376
SSS,Sovran Self Storage Inc. Commo ,Financial,REIT - Industrial,75.9,75.098,74.1014,70.9715
STRN,Sutron Corporation ,Technology,Scientific & Technical Instruments,5.5,5.379,5.4278,5.1411
STRP,Straight Path Communications Inc. ,Technology,Diversified Communication Services,7,6.335,7.3222,
STRZA,Starz ,Services,Entertainment - Diversified,32.27,31.773,31.9864,28.5443
SYPR,Sypris Solutions Inc. ,Technology,Scientific & Technical Instruments,3.03,2.872,2.9038,3.00845
TAYCO,Taylor Capital Group Inc. ,N/A,N/A,27.27,26.999,26.506,25.8431
TDD,DBX TDX Independence 2010 ETF,Fixed Income ETF,,25.65,24.809,24.7348,24.2878
TDH,DBX TDX Independence 2020 ETF,Fixed Income ETF,,27.65,27.423,27.3202,26.3405
TDIV, First Trust Exchange-Traded Fun ,N/A,N/A,25.3,25.11,24.7932,23.7027
TDX,DBX TDX Independence In-Target ETF,Fixed Income ETF,,29,28.679,28.5578,27.9137
THGA,The Hanover Insurance Group Inc. ,N/A,N/A,23.87,23.409,23.047,21.8574
TIVO,TiVo Inc. ,Services,CATV Systems,11.86,11.873,12.727,12.4634
TLH,iShares Barclays 10-20 Year Treasury Bond Fund ETF,Fixed Income ETF,,127.31,126.922,126.053,124.41
TLYS, Tilly's  Inc. Common ,Services,Apparel Stores,11.3,11.304,11.5156,12.9329
TNXP,Tonix Pharmaceuticals Holding Corp ,Healthcare,Drug Manufacturers - Major,9.73,9.747,11.69,8.3054
TQNT,TriQuint Semiconductor Inc. ,Technology,Semiconductor - Integrated Circuits,14.18,13.535,12.831,9.2191
TRNS,Transcat Inc. ,Technology,Scientific & Technical Instruments,9.88,9.335,9.3838,8.4036
TSCO,Tractor Supply Company ,Services,Specialty Retail Other,67.24,66.898,69.672,84.6405
TU,TELUS Corporation Common ,Technology,Wireless Communications,35.27,34.849,35.0542,33.6865
TUZ,PIMCO 1-3 Year U.S. Treasury Index Fund ETF,Fixed Income ETF,,50.93,50.894,50.894,50.8764
TWO,Two Harbors Investment Corp ,Financial,REIT - Residential,10.38,10.234,10.326,9.78945
TZD, iShares S&P Target Date 2010 ,N/A,N/A,35.99,35.85,35.7452,35.0251
UCD,ProShares Ultra DJ-UBS Commodity ETF,Commodity Based ETF,,23.65,23.176,22.5862,20.2931
UDN, PowerShares DB USD Index Bearis ,N/A,N/A,27.26,27.169,27.1332,26.9002
UEIC,Universal Electronics Inc. ,Consumer Goods,Electronic Equipment,37.35,35.812,39.0228,36.0284
UKK,ProShares Ultra Russell2000 Growth ETF,Commodity Based ETF,,88.57,89.999,98.3748,90.5241
ULE,ProShares Ultra Euro ETF,Commodity Based ETF,,26.42,26.165,26.1366,25.3591
ULTI,The Ultimate Software Group In ,Technology,Internet Software & Services,119.63,123.208,143.542,147.394
UMC,United Microelectronics Corpora ,Technology,Semiconductor Equipment & Materials,2.18,2.113,2.0656,2.04485
UTHR,United Therapeutics Corporation ,Healthcare,Drug Manufacturers - Other,100.01,94.801,96.8018,89.8618
UYG,ProShares Ultra Financials ETF,Commodity Based ETF,,118,117.555,118.507,109.646
UYM,ProShares Ultra Basic Materials ETF,Commodity Based ETF,,51.43,50.954,50.209,45.1862
VBK,Vanguard Small-Cap Growth ETF,US Equity ETF,,119.55,120.269,124.02,118.168
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,Fixed Income ETF,,85.67,85.359,84.9478,83.8681
