490,Xcel Energy Inc,XEL 
491,XL Group Plc,XL 
492,Xilinx Inc,XLNX 
493,Exxon Mobil Corp,XOM 
494,Dentsply Intl,XRAY 
495,Xerox Corp,XRX 
496,Xylem Inc,XYL 
497,Yahoo Inc,YHOO 
498,Yum! Brands Inc,YUM 
499,Zions Bancorp (UT),ZION 
500,Zimmer Holdings Inc,ZMH 
501,Activision Blizzard,ATVI
502,Avago Technologies Inc.,AVGO
503,Baidu.com Inc.,BIDU
504,Check Point Software Technologies Ltd.,CHKP
505,Flextronics International Ltd.,FLEX
506,Garmin Ltd.,GRMN
507,Green Mountain Coffee Roasters Inc.,GMCR
508,Henry Schein Inc.,HSIC
509,Infosys Technologies,INFY
510,Kraft Foods Inc.,KFT
511,Liberty Interactive,LINTA
512,Marvell Technology Group Ltd.,MRVL
513,Maxim Integrated Products,MXIM
514,Nuance Communications Inc.,NUAN
515,Randgold Resources Ltd.,GOLD
516,Research in Motion Limited,RIMM
517,Sears Holdings Corporation,SHLD
518,Sirius XM Radio Inc.,SIRI
519,Vertex Pharmaceuticals,VRTX
520,Virgin Media Inc.,VMED
521,Vodafone Group plc.,VOD
522,Warner Chilcott Ltd.,WCRX
523,SPDR S&P 500,SPY
