price_date,close_price,dma_10,dma_50,dma_200,ema_12,ema_26,ema_diff,ema_macd_9,signalstrength1,signalstrength2
2012-05-09,32.42,33.135,32.772,,32.9888,32.9477,0.0410995,0.118382,65.2823528323332,188.037952333163
2012-05-08,32.94,33.185,32.743,,33.0922,32.9899,0.102318,0.137703,25.6966340939877,34.5834051804489
2012-05-07,33.28,33.155,32.6968,,33.1199,32.9939,0.126019,0.146549,14.0090556813572,16.2913150824883
2012-05-04,32.82,33.054,32.627,,33.0908,32.971,0.119751,0.151681,21.050978046728,26.6640137216488
2012-05-03,33.17,33.029,32.5756,,33.14,32.9831,0.156906,0.159664,1.72705283689178,1.7574041348585
2012-05-02,33.35,32.981,32.5162,,33.1345,32.9681,0.166336,0.160353,-3.73131207663459,-3.59709329992661
2012-05-01,33.65,32.96,32.4604,,33.0953,32.9376,0.157669,0.158857,0.747801765229024,0.753435972732991
2012-04-30,32.99,32.92,32.4012,,32.9944,32.8806,0.11375,0.159154,28.528055049864,39.9150394882458
2012-04-27,33.33,32.893,32.341,,32.9952,32.8719,0.123325,0.170505,27.6705396605274,38.2562506766371
2012-04-26,33.4,32.802,32.27,,32.9343,32.8352,0.0990906,0.1823,45.6441419014516,83.9728108398137
2012-04-25,32.92,32.82,32.2026,,32.8496,32.79,0.0596008,0.203102,70.6546945809252,240.770009280594
2012-04-24,32.64,32.847,32.1488,,32.8368,32.7796,0.0571861,0.238977,76.0704698802618,317.893704972984
2012-04-23,32.27,32.833,32.0934,,32.8726,32.7908,0.0817986,0.284425,71.2407622596197,247.714361912979
2012-04-20,32.57,32.905,32.0518,,32.9822,32.8325,0.149662,0.335082,55.3357028238395,123.892474128922
2012-04-19,32.69,32.978,32.0052,,33.0571,32.8535,0.203541,0.381437,46.6384225771867,87.4007569297374
2012-04-18,33.14,33.053,31.9488,,33.1238,32.8666,0.257179,0.425911,39.6166676532877,65.6086143537334
2012-04-17,33.25,33.143,31.8822,,33.1208,32.8447,0.27607,0.468094,41.0226052339178,69.5564892220533
2012-04-16,32.72,33.225,31.822,,33.0973,32.8123,0.284988,0.5161,44.7803896210537,81.0950843617819
2012-04-13,32.42,33.323,31.7578,,33.1659,32.8197,0.346165,0.573878,39.6797198857674,65.7817235109372
2012-04-12,33.58,33.431,31.6994,,33.3015,32.8517,0.449863,0.630806,28.6843679758772,40.2217117926888
2012-04-11,33.19,33.476,31.6022,,33.2509,32.7934,0.457497,0.676042,32.3271644869261,47.7697797673643
2012-04-10,32.5,33.513,31.5134,,33.262,32.7617,0.500298,0.730678,31.5296845688012,46.0486918604651
