price_date,close_price,dma_10,dma_50,dma_200,ema_diff,ema_macd_9,signalstrength1,ema_diff_5_35,ema_macd_5,signalstrength2
2012-07-16,35.96,32.046,30.8078,,0.739271,0.35807,0.381200969219208,2.06017,1.07498,0.985194802284241
2012-07-13,34.25,31.579,30.7378,,0.452728,0.26277,0.189957857131958,1.1951,0.582383,0.612715840339661
2012-07-12,32.7,31.295,30.7316,,0.254576,0.215281,0.0392949283123016,0.540388,0.276025,0.264362901449203
2012-07-11,31.51,31.221,30.7532,,0.155781,0.205457,-0.0496762096881866,0.168516,0.143844,0.0246721655130386
2012-07-10,31.27,31.231,30.7856,,0.148588,0.217876,-0.0692878216505051,0.0978565,0.131508,-0.033651664853096
2012-07-09,31.49,31.415,30.827,,0.161716,0.235198,-0.0734811425209045,0.0886288,0.148334,-0.0597048550844193
2012-07-06,30.99,31.645,30.867,,0.15366,0.253568,-0.099908173084259,-0.0255394,0.178186,-0.203725039958954
2012-07-05,31.23,31.765,30.9054,,0.192158,0.278545,-0.0863874554634094,0.0144558,0.280048,-0.265592277050018
2012-07-03,30.66,32.02,30.9172,,0.213997,0.300142,-0.0861449241638184,-0.0284386,0.412844,-0.441282600164413
2012-07-02,30.4,32.163,30.9428,,0.296852,0.321678,-0.0248254835605621,0.155779,0.633485,-0.477706372737885
2012-06-29,31.29,32.307,30.998,,0.424713,0.327884,0.0968289375305176,0.558474,0.872338,-0.313864588737488
2012-06-28,31.41,32.169,31.0354,,0.491123,0.303677,0.187445789575577,0.789,1.02927,-0.240267276763916
2012-06-27,31.96,31.967,31.0604,,0.556543,0.256816,0.299727559089661,1.07899,1.1494,-0.0704019069671631
2012-06-26,31.61,31.748,31.066,,0.57584,0.181884,0.3939558416605,1.26525,1.1846,0.0806487798690796
2012-06-25,33.11,31.553,31.0788,,0.627745,0.0833952,0.544349431991577,1.67816,1.14427,0.533881545066833
2012-06-22,33.79,31.154,31.0884,,0.532135,-0.0526922,0.584827210754156,1.62291,0.877332,0.745573461055756
2012-06-21,32.19,30.783,31.0814,,0.333158,-0.198899,0.532057300209999,1.18734,0.504544,0.682799935340881
2012-06-20,33.78,30.457,31.0994,,0.237289,-0.331913,0.569202035665512,1.16663,0.163146,1.00347980856895
2012-06-19,32.09,30.001,31.073,,-0.0504112,-0.474213,0.423801422119141,0.397932,-0.338595,0.73652708530426
2012-06-18,31.84,29.583,31.0942,,-0.244802,-0.580163,0.33536034822464,-0.0891743,-0.706858,0.617684125900269
2012-06-15,29.91,29.187,31.147,,-0.463993,-0.664003,0.200009524822235,-0.749872,-1.0157,0.26583194732666
2012-06-14,29.39,29.011,31.2488,,-0.540382,-0.714005,0.173622786998749,-0.925621,-1.14862,0.222999453544617
2012-06-13,29.77,29.022,31.4212,,-0.577045,-0.757411,0.180365979671478,-0.948122,-1.26012,0.311998844146729
2012-06-12,29.66,29.086,31.5574,,-0.654238,-0.802503,0.148265063762665,-1.12358,-1.41612,0.292541146278381
2012-06-11,29.12,29.289,31.709,,-0.731974,-0.839569,0.107595562934875,-1.32078,-1.56239,0.241609811782837
2012-06-08,30.08,29.358,31.8732,,-0.765575,-0.866468,0.10089236497879,-1.35679,-1.6832,0.326412916183472
2012-06-07,28.93,29.378,32.0286,,-0.895092,-0.891691,-0.00340080261230469,-1.79761,-1.84641,0.0488007068634033
2012-06-06,29.22,29.587,32.2088,,-0.930269,-0.890841,-0.0394282341003418,-1.93748,-1.87081,-0.0666762590408325
2012-06-05,27.91,29.745,32.3724,,-0.99114,-0.880984,-0.110156357288361,-2.23059,-1.83747,-0.393122911453247
2012-06-04,27.88,29.831,32.4958,,-0.921051,-0.853445,-0.0676064491271973,-2.05268,-1.64091,-0.411767840385437
2012-06-01,28.15,29.799,32.6262,,-0.815174,-0.836543,0.021368682384491,-1.69642,-1.43503,-0.261394143104553
2012-05-31,29.5,29.841,32.7662,,-0.69566,-0.841885,0.146225154399872,-1.19975,-1.30433,0.104577302932739
2012-05-30,30.41,29.809,32.8754,,-0.670511,-0.878441,0.207929372787476,-0.971254,-1.35662,0.385363817214966
2012-05-29,31.69,29.711,32.9668,,-0.721245,-0.930423,0.209177792072296,-0.981289,-1.5493,0.56801438331604
2012-05-25,29.81,29.548,33.0394,,-0.905907,-0.982717,0.0768107175827026,-1.53318,-1.83331,0.300130367279053
2012-05-24,30.28,29.792,33.1432,,-0.936991,-1.00192,0.0649274587631226,-1.53506,-1.98337,0.448314547538757
2012-05-23,31.02,30.06,33.2434,,-1.01083,-1.01815,0.00731813907623291,-1.7003,-2.20753,0.507233381271362
2012-05-22,30.8,29.964,33.3448,,-1.16586,-1.01998,-0.145873785018921,-2.23922,-2.46115,0.221937656402588
2012-05-21,28.77,29.903,33.449,,-1.32423,-0.983512,-0.340720474720001,-2.93213,-2.57212,-0.360010623931885
2012-05-18,27.56,30.273,33.5684,,-1.30051,-0.898332,-0.40217798948288,-3.05091,-2.39211,-0.658803224563599
2012-05-17,28.57,30.7,33.6786,,-1.12813,-0.797788,-0.330340445041656,-2.61602,-2.06271,-0.553309917449951
2012-05-16,29.18,31.089,33.7696,,-0.994425,-0.715202,-0.279223024845123,-2.29394,-1.78605,-0.507888436317444
2012-05-15,29.43,31.565,33.8482,,-0.871429,-0.645396,-0.226033270359039,-1.98402,-1.53211,-0.451907157897949
2012-05-14,30.06,32,33.935,,-0.727289,-0.588888,-0.138400971889496,-1.54371,-1.30616,-0.237550377845764
2012-05-11,32.25,32.307,34.0146,,-0.596928,-0.554288,-0.0426396131515503,-1.07682,-1.18738,0.11055588722229
2012-05-10,32.96,32.416,34.0578,,-0.644787,-0.543628,-0.101159036159515,-1.26988,-1.24266,-0.0272183418273926
2012-05-09,30.06,32.469,34.0668,,-0.768864,-0.518338,-0.250525295734406,-1.85241,-1.22905,-0.623357772827148
2012-05-08,30.19,32.754,34.1418,,-0.620789,-0.455707,-0.165081977844238,-1.44365,-0.91737,-0.526282727718353
2012-05-07,32.47,32.917,34.2104,,-0.435886,-0.414436,-0.0214499831199646,-0.809372,-0.654231,-0.155140697956085
2012-05-04,31.83,32.864,34.236,,-0.425667,-0.409074,-0.0165926218032837,-0.784149,-0.576661,-0.207488298416138
2012-05-03,32.46,32.997,34.29,,-0.341301,-0.404926,0.0636248290538788,-0.438656,-0.472917,0.0342614948749542
2012-05-02,33.94,33.067,34.3252,,-0.292778,-0.420832,0.128053575754166,-0.154903,-0.490048,0.335144430398941
2012-05-01,33.78,32.939,34.3364,,-0.3773,-0.452845,0.075544536113739,-0.352566,-0.65762,0.305054366588593
2012-04-30,33.13,32.785,34.3602,,-0.463428,-0.471731,0.00830268859863281,-0.585575,-0.810147,0.224572002887726
2012-04-27,33.34,32.697,34.3812,,-0.500404,-0.473807,-0.0265971720218658,-0.651619,-0.922433,0.270814180374146
2012-04-26,33.49,32.722,34.3864,,-0.561668,-0.467158,-0.0945107936859131,-0.830154,-1.05784,0.22769033908844
2012-04-25,32.91,32.717,34.38,,-0.647049,-0.44353,-0.203519135713577,-1.1554,-1.17169,0.0162873268127441
2012-04-24,31.82,32.735,34.3516,,-0.687542,-0.39265,-0.294891953468323,-1.38216,-1.17983,-0.202327013015747
2012-04-23,31.94,32.799,34.3372,,-0.618179,-0.318927,-0.299252331256866,-1.2207,-1.07867,-0.142032742500305
2012-04-20,33.16,32.92,34.35,,-0.532883,-0.244114,-0.288768485188484,-0.981266,-1.00765,0.0263826847076416
2012-04-19,33.16,33.052,34.3254,,-0.540539,-0.171922,-0.368616580963135,-1.11037,-1.02084,-0.0895289182662964
2012-04-18,32.66,33.236,34.2942,,-0.542416,-0.079768,-0.462647616863251,-1.28276,-0.976072,-0.30668431520462
2012-04-17,32.24,33.771,34.277,,-0.486038,0.035894,-0.521932207047939,-1.29837,-0.822729,-0.475641250610352
2012-04-16,32.25,34.205,34.2552,,-0.364193,0.166377,-0.530569568276405,-1.09954,-0.584909,-0.514635443687439
2012-04-13,33.59,34.704,34.2152,,-0.204391,0.299019,-0.503410071134567,-0.755863,-0.327594,-0.428269058465958
2012-04-12,33.44,35.078,34.135,,-0.133984,0.424871,-0.558854818344116,-0.779022,-0.11346,-0.665561884641647
2012-04-11,33.09,35.519,34.0476,,-0.0267372,0.564585,-0.591321766376495,-0.726765,0.21932,-0.946084812283516
2012-04-10,32.46,36.004,33.9772,,0.14608,0.712415,-0.566335201263428,-0.467857,0.692362,-1.1602189540863
2012-04-09,33.15,36.498,33.9146,,0.428665,0.853999,-0.425333440303802,0.234936,1.27247,-1.03753006458282
2012-04-05,34.48,36.591,33.8304,,0.712898,0.960332,-0.247433364391327,1.03996,1.79123,-0.751274704933167
2012-04-04,35,36.583,33.7002,,0.929985,1.02219,-0.0922039747238159,1.70118,2.16687,-0.465691328048706
2012-04-03,38.01,36.598,33.5486,,1.14056,1.04524,0.095323920249939,2.47188,2.39971,0.0721752643585205
2012-04-02,36.58,36.293,33.3238,,1.08619,1.02141,0.0647752285003662,2.29515,2.36362,-0.0684621334075928
2012-03-30,37.24,36.133,33.1242,,1.14657,1.00522,0.141355752944946,2.57785,2.39785,0.18000054359436
2012-03-29,37.33,35.941,32.9146,,1.13979,0.969878,0.169907748699188,2.65992,2.30785,0.352066516876221
2012-03-28,37.85,35.708,32.7042,,1.10541,0.9274,0.178011119365692,2.67226,2.13182,0.540444374084473
2012-03-27,37.94,35.452,32.4792,,0.992516,0.882898,0.109617948532104,2.38383,1.8616,0.522234559059143
2012-03-26,37.4,35.267,32.1762,,0.82478,0.855493,-0.0307132601737976,1.81602,1.60048,0.215544939041138
2012-03-23,34.08,35.128,31.9932,,0.653725,0.863171,-0.209445953369141,1.09894,1.49271,-0.393765091896057
2012-03-22,34.4,35.194,31.8762,,0.763962,0.915532,-0.151570618152618,1.39251,1.68959,-0.297076821327209
2012-03-21,35.15,35.061,31.7406,,0.860863,0.953425,-0.0925626754760742,1.67659,1.83813,-0.161536335945129
2012-03-20,34.96,34.858,31.5826,,0.895718,0.976566,-0.0808483958244324,1.74759,1.9189,-0.171314358711243
2012-03-19,34.98,34.673,31.4216,,0.946491,0.996778,-0.0502869486808777,1.89277,2.00456,-0.111791610717773
2012-03-16,35.32,34.552,31.2644,,0.995445,1.00935,-0.0138998031616211,2.05898,2.06045,-0.00147151947021484
2012-03-15,35,34.424,31.1122,,1.00892,1.01282,-0.00389337539672852,2.11228,2.06118,0.051098108291626
2012-03-14,35.29,34.365,30.9738,,1.04403,1.01379,0.0302430391311646,2.27596,2.03563,0.240328550338745
2012-03-13,36.09,34.177,30.8392,,1.04406,1.00623,0.0378299951553345,2.34105,1.91546,0.425586104393005
2012-03-12,36.01,33.949,30.692,,0.947483,0.996777,-0.0492935180664062,2.02271,1.70267,0.320039033889771
2012-03-09,34.74,33.71,30.542,,0.8186,1.0091,-0.190504312515259,1.49296,1.54265,-0.0496847629547119
2012-03-08,33.07,33.611,30.4186,,0.771503,1.05673,-0.285229206085205,1.16786,1.56749,-0.399624943733215
2012-03-07,33.12,33.757,30.3152,,0.870262,1.12804,-0.257782220840454,1.35403,1.7673,-0.41326916217804
2012-03-06,33.11,33.867,30.2082,,0.97847,1.19249,-0.214024186134338,1.58781,1.97394,-0.386132955551147
2012-03-05,33.77,34.006,30.0974,,1.10349,1.246,-0.142516851425171,1.91684,2.16701,-0.250169038772583
2012-03-02,34.04,34.126,29.98,,1.17976,1.28163,-0.101871967315674,2.09184,2.29209,-0.200250864028931
2012-03-01,34.41,34.14,29.8542,,1.23232,1.3071,-0.0747812986373901,2.18907,2.39222,-0.203151702880859
2012-02-29,33.41,34.059,29.726,,1.2439,1.3258,-0.0819075107574463,2.11587,2.4938,-0.377925395965576
2012-02-28,33.81,34.035,29.6302,,1.34242,1.34628,-0.00385737419128418,2.37864,2.68276,-0.304121017456055
2012-02-27,33.62,33.803,29.5246,,1.40786,1.34724,0.0606256723403931,2.54949,2.83482,-0.28533148765564
2012-02-24,33.75,33.551,29.4412,,1.49038,1.33208,0.158295392990112,2.82974,2.97749,-0.147742509841919
2012-02-23,34.53,33.434,29.3744,,1.56076,1.29251,0.268244624137878,3.13425,3.05136,0.0828921794891357
2012-02-22,34.22,33.174,29.3046,,1.54843,1.22545,0.322981595993042,3.18147,3.00991,0.171555280685425
2012-02-21,34.5,32.912,29.238,,1.54172,1.1447,0.397021532058716,3.29971,2.92413,0.375581502914429
2012-02-17,34.97,32.642,29.2318,,1.48218,1.04544,0.436736702919006,3.26693,2.73634,0.530593156814575
2012-02-16,34.18,32.26,29.2298,,1.33677,0.936261,0.400509834289551,2.91137,2.47104,0.440332889556885
2012-02-15,33.6,31.867,29.2346,,1.21218,0.836134,0.376040995121002,2.60964,2.25087,0.35876989364624
2012-02-14,33.17,31.465,29.2286,,1.09461,0.742123,0.352483570575714,2.30951,2.07148,0.238030910491943
2012-02-13,31.49,31.055,29.2172,,0.97246,0.654001,0.31845897436142,1.95459,1.95246,0.0021369457244873
2012-02-10,31.1,30.863,29.2422,,0.973356,0.574386,0.398970663547516,2.07464,1.95139,0.123250842094421
2012-02-09,32.58,30.686,29.2552,,1.0001,0.474643,0.525459796190262,2.37632,1.88977,0.486549615859985
2012-02-08,31.93,30.322,29.2548,,0.86899,0.343279,0.52571114897728,2.13262,1.64649,0.486126780509949
2012-02-07,31.6,29.926,29.2494,,0.755217,0.211851,0.543365359306335,1.96956,1.40343,0.566132307052612
2012-02-06,31.8,29.508,29.2464,,0.63266,0.0760098,0.556650154292583,1.79833,1.12036,0.677971482276917
2012-02-03,31.15,29.005,29.2518,,0.446596,-0.0631528,0.509748943150043,1.3852,0.781368,0.603834688663483
2012-02-02,30.25,28.55,29.264,,0.268808,-0.19059,0.459397971630096,0.975065,0.479452,0.495613157749176
2012-02-01,29.58,28.201,29.311,,0.129555,-0.305439,0.434993356466293,0.692101,0.231646,0.460454374551773
2012-01-31,29.07,27.924,29.393,,0.0181732,-0.414187,0.432360172271729,0.517982,0.00141908,0.516563407843933
2012-01-30,29.57,27.677,29.5104,,-0.0722694,-0.522277,0.450007617473602,0.451082,-0.256862,0.707944571971893
2012-01-27,29.33,26.999,29.5976,,-0.237663,-0.634779,0.397115707397461,0.110998,-0.610834,0.721831858158112
2012-01-26,28.94,26.891,29.6754,,-0.420872,-0.734058,0.31318587064743,-0.326427,-0.971749,0.645321846008301
2012-01-25,27.97,26.82,29.7694,,-0.608849,-0.812354,0.203505218029022,-0.839678,-1.29441,0.454735040664673
2012-01-24,27.42,26.785,29.8366,,-0.741081,-0.86323,0.12214857339859,-1.20217,-1.52178,0.319612145423889
2012-01-23,26.77,26.768,29.9058,,-0.84313,-0.893767,0.0506367087364197,-1.49986,-1.68159,0.181738376617432
2012-01-20,26.6,26.782,30.0072,,-0.894852,-0.906426,0.0115739107131958,-1.64169,-1.77246,0.130776047706604
2012-01-19,26.76,26.834,30.1006,,-0.930613,-0.909319,-0.0212939381599426,-1.74369,-1.83785,0.0941557884216309
2012-01-18,26.81,26.929,30.2116,,-0.978989,-0.903995,-0.0749932527542114,-1.92492,-1.88493,-0.0399895906448364
2012-01-17,26.6,27.056,30.3246,,-1.03163,-0.885247,-0.146382749080658,-2.17837,-1.86494,-0.313428282737732
2012-01-13,22.79,27.252,30.3668,,-1.06241,-0.848651,-0.213757634162903,-2.4241,-1.70823,-0.715867877006531
2012-01-12,28.25,27.846,30.4886,,-0.698273,-0.795211,0.096937894821167,-1.06223,-1.3503,0.288067698478699
2012-01-11,28.23,27.872,30.511,,-0.779346,-0.819445,0.0400987267494202,-1.27687,-1.49433,0.217463254928589
2012-01-10,27.62,27.906,30.5438,,-0.86941,-0.82947,-0.0399395823478699,-1.57122,-1.60306,0.0318377017974854
